fiscal_year,agency_name,payee_name,payee_zip,amount,purpose_of_payment_baltimore_county_only,mbe,agency_name_clean
2019,Kent County Public Schools,VOYA INSTITUTIONAL TRUST CO Total,10116,26280,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,"WASTE MANAGEMENT OF DELAWARE, INC Total",19101-,48798.31,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,WELLS FARGO VENDOR FINANCE Total,19176,102544,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,WEX BANK Total,60197,25642.76,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,"WGL ENERGY SERVICES, INC Total",22102,112984.48,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,"WGL ENERGY SYSTEMS, INC Total",22182,49801.13,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,XEROX CORPORATION Total,19182,97434.33,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,"PT NETWORK, LLC",21286,25000,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,"LEARNING TOGETHER, LLC",21601,25185.55,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,MABE,21401-1112,25379,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,SOLIANT HEALTH,60055-4430,25622.63,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,TALBOT COUNTY HEALTH DEPARTMENT,21601,25900.46,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,SIGNATURE PUBLIC FUNDING CORP.,07101-4549,26483.16,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,"SCOFIELD MASONE MANAGEMENT, LLC",21663,27092.11,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,HILARY SPENCE,21601,27871.24,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,ARROW CHILD & FAMILY MINISTRIES,21234,28152.8,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,SPURRY'S TIRE SERVICE INC,21601,28168.57,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,BLAIR E MARTH,21647,28615,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,"KENT ISLAND FLOOR COVERING, INC",21666,29082,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,MOHAWK RESOURCES LTD,12010,30203.4,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,MR. ROOTER,21625,31067.5,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,"PACIFIC EDUCATIONAL GROUP, INC.",94114,31565,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,BELL TECHLOGIX INC,19182-3342,31611.92,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,UNUM INSURANCE COMPANY,30384-3748,31954.21,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,"VITECH CONSULTING SERVICES, INC",21629,35328.61,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,"FILEWAVE (USA), INC.",46207,36426,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,COLLEGE BOARD - AP EXAMS,10087-1535,40497,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,MCGRAW-HILL LEARNING MATERIALS,19170-7020,40968.12,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,DELMARVA POWER,19101,42710.81,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,"JOHNSON CONTROLS, INC.",75373,43715.09,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,"PROJECT LEAD THE WAY, INC",46240,44141.2,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,JEANINE K BRIZENDINE,21012,44757.88,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,CRISWELL PERFORMANCE CARS INC,20878,44972,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,"LAW OFFICES OF MARK B. MARTIN, P.A.",21201,45000,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,EDOCTRINA CORPORATION,14221,45125,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,"KURTZ BROS., INC.",16830-0392,45419.86,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,"WASTE MANAGEMENT OF DELAWARE, INC.",19101-3648,45827.97,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,FOLLETT SCHOOL SOLUTIONS INC.,60693-0918,48254.46,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,CENTER FOR LIFELONG LEARNING,07869,49419,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,JANE M. WALLENHORST,21673,50175,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,"WGL ENERGY SERVICES, INC.",22102,51157.87,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,U.S. BANCORP GOVERNMENT LEASING AND,63195-9067,51593.77,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,SALISBURY UNIVERSITY,21802,54802.99,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,VERIZON WIRELESS,18002-5505,55867.39,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,"CBIZ MHM, LLC",30384-4489,57148,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,ECHO HILL OUTDOOR SCHOOL,21678,61370,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,CDW GOVERNMENT,60675-1515,62786.23,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,"POWERSCHOOL GROUP, LLC",94139-8408,63390.65,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,"PESSIN KATZ LAW, P.A.",21204,64872.57,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,"TALBOT COUNTY, MARYLAND",21601,65752,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,CHESAPEAKE FOOD SERVICE CO. INC,21613,69765,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,"SEVERIN INTERMEDIATE HOLDINGS, LLC",94139-8408,70119.98,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,APPLE COMPUTER,30384-1877,73030.15,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,MCGRAW-HILL GLOBAL EDUCATION LLC,19178-6167,75419.16,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,SOLUTIONS GRANTED,22192,82964.09,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,NEW DIRECTION SOLUTIONS LLC,60055-4430,84424.5,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,ENOME INC,94401,85472,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,VERIZON,08650-4830,86380.14,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,"MICROREPLAY, INC",01821,88165,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,TRANSAMERICA LIFE INSURANCE COMPANY,52499-0001,89384.7,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,ARK SYSTEMS INC.,21045,91895.99,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,"YMCA OF TALBOT COUNTY, INC.",21601,92041.29,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,VISA,60197-6818,95308.7,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,MARYLAND STATE RETIREMENT,21202,100175.96,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,OFFICE DEPOT,45263-3301,103464.49,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,"MOTOROLA SOLUTIONS, INC",60693,103686.32,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,"SUNBELT STAFFING, LLC",60055-4430,105616.25,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,COMPHEALTH MEDICAL STAFFING,75397-2670,106128.93,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,STANDARD INSURANCE COMPANY,45264-5311,122669.6,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,A. E. MOORE JANITORIAL INC.,19966,124602.06,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,M. KATHRYN SEIFERT,21804,126500.01,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,ANGEL MANAGEMENT INC,21114,128443.54,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,AMAZON,30353-0958,128780.6,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,XEROX CORPORATION,19182-7598,129287.9,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,"AMERICAN TRUCK & BUS, INC.",21401,129415.98,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,"L & S BUS SERVICE, INC.",21617,132331.26,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,TALBOT COUNTY EDUCATION ASSOCI,NA,180232.8,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,MABE-GROUP INSURANCE POOL,21401,180483,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,TOWN OF EASTON,21601,197577.14,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,CHOPTANK ELECTRIC COOPERATIVE,21629,241697.92,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,"SPECIALIZED EDUCATION OF MD, INC.",08103-1085,257057.63,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,MABE-WORKERS COMP SELF-INS,21401,290958,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,AMN HEALTHCARE,30384-1939,307251.03,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,THE BENEDICTINE SCHOOL FOR,21660,358092.45,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,"BCICAPITAL, INC.",32801,360348.16,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,MANSFIELD OIL COMPANY,75373-3706,404094.7,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,MID SHORE SPECIAL ED CONSORTIUM,21601,429632.48,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,"APPLE COMPUTER, INC.",30384-1877,637497.69,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,EASTON UTILITIES COMMISSION,21601,798954.53,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,LABOR FIRST LLC,08054,835057.6,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,MARYLAND STATE RETIREMENT,21202,1290460,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,"SODEXO, INC & AFFILIATES",21601,2209531.27,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,MARYLAND STATE RETIREMENT SYST,21202-1600,2449674.25,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,E. SHORE EDUC. CONSORT.,21202,4002643,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,"CAREFIRST OF MARYLAND, INC.",19178-9616,7184602.88,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,THE WHITING-TURNER CONTRACTING CO,21297,11421255.51,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,"CDW-G GOVERNMENT,INC",NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,AERO ENERGY -(WISE OIL,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,ALLIANCE TECHNOLOGY GR,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,"ALTO-HARTLEY, INC.",NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,AMERICAN FIDELITY ASSU,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,AMERICAN READING COMPA,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,"APPLE, INC.",NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,ARK SYSTEMS,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,ARROW CENTER FOR EDUCA,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,"AZ TRANSPORT,INC- BUS",NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,BANC OF AMERICA LEASIN,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,BAY COUNTRY COMMUNICAT,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,BELL TECH LOGIX,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,BENEDICTINE SCHOOL,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,BOB BREEDING GENERAL C,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,CAMBRIDGE-SOUTH DORCHE,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,CAREFIRST BLUE CROSS B,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,CARROLL COUNTY FOODS,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,CHARLES BROWN GLASS CO,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,CHESAPEAKE UTILITIES,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,CHOPTANK ELECTRIC COOP,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,"CIT BANK, N.A.",NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,COKESBURY TRANSPORTATI,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,COUNTY ENVIRONMENTAL I,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,CROPPER AND SON TRANSP,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,CUNNINGHAM RECREATION,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,"DATA MANAGEMENT, INC.",NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,DATA NETWORKS INC.,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,DELMARVA POWER,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,DEMBYS TRANSPORTATION,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,DISCOVERY EDUCATION,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,DONNA BRAMBLE,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,DORCHESTER CAREER & TE,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,DORCHESTER COUNTY HEAL,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,"DUNNOCK,C E,TRANS INC",NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,E&L TRANSPORT - BUS,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,"EAGLE TRANSPORTATION,I",NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,EMC PUBLISHING LLC,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,"GARLAND/DBS, INC.",NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,HOLT PAPER & CHEMICAL,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,"HOPKINS SALES CO., INC",NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,"HORD/COPLAN/MACHT, INC",NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,"HOTTEN,SHIRLEY - BUS",NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,HOUGHTON MIFFLIN CO.,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,HY-POINT FARMS,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,"I.G. BURTON & CO., INC",NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,JAMES COLLINS,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,"JAMESWAY,INC - BUS",NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,"JOHNSON CONTROLS, INC.",NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,LAB-AIDS INCORPORATED,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,MABE,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,MABE GROUP INSURANCE P,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,MABE-WORKERS COMP SELF,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,MARYLAND COALITIION OF,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,MARYLAND STATE RETIREM,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,"MCCOLLISTER,STEVEN H -",NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,MD CHILD SUPPORT ACCOU,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,MD HIGHER EDUCATION CO,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,MID SHORE COMMUNITY ME,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,MSEA,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,MUNICIPAL UTILITIES CO,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,NEOFUNDS BY NEOPOST,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,NEWCOMB INC. - BUS,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,"NIXON SR., VINCENT W.",NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,NORTH DORCHESTER HIGH,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,PAVEMENT CORPORATION,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,PERFORMANCE MATTERS LL,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,"PESSIN KATZ LAW, P.A.",NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,PINE HILL LANDSCAPING,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,PIVOT PHYSICAL THERAPY,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,PORTER CAPITAL CORPORA,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,POWERSCHOOL GROUP LLC,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,"PROJECT LEAD THE WAY,",NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,"R & R TRANSPORTATION,I",NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,RATHELL FARM EQUIPMENT,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,REGIONAL TRAINING CENT,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,ROTO-ROOTER,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,SALISBURY UNIVERSITY,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,"SCH TRANSPORTATION, LL",NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,"SCHAUBER, INC.",NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,SCHMIDT BAKING CO.,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,SCHOOL SPECIALTY,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,SIMMONS CENTER MARKET,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,SOLIANT HEALTH,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,SOUTHSIDE LAND MANAGEM,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,SPECIALIZED EDUCATION,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,STANDARD LIFE INSURANC,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
