Fiscal Year,Agency Name,Payee Name,Payee Zip,Amount,Purpose of Payment (Baltimore County only),MBE
2019,Prince Georges' County Public Schools,GOVDELIVERY LLC DBA GRANICUS INC,60055-9634,59080.26,,
2019,Prince Georges' County Public Schools,"GRACELAND COLLEGE CENTER FOR PROFESSIONAL DEVELOPMENT & LIFELONG LEARNING, INC dba NATIONAL SEMINARS TRAINING/SKILLPATH",64180-4441,25802.4,,
2019,Prince Georges' County Public Schools,GRANT CAPITAL MANAGEMENT INC C/O TD EQUIPMENT FINANCE INC,21044,29901579.7,,
2019,Prince Georges' County Public Schools,GREATER WASHINGTON COMMUNITY FOUNDATION,20005,150000,,
2019,Prince Georges' County Public Schools,GREATER WASHINGTON SOFTBALL UMPIRES ASSOCIATION,21770,53092.6,,
2019,Prince Georges' County Public Schools,GREENBELT CHILDREN'S CENTER,20776,98490.5,,
2019,Prince Georges' County Public Schools,GREENWOOD PUBLISHING GROUP INC DBA HEINEMANN,60693,36045.27,,
2019,Prince Georges' County Public Schools,GRIMM & PARKER ARCHITECTS,20705,2845325.27,,
2019,Prince Georges' County Public Schools,GRUNLEY CONSTRUCTION COMPANY INC,20850,1481765.51,,
2019,Prince Georges' County Public Schools,GUITAR CENTER dba MUSIC AND ARTS,21703-8517,250167.15,,
2019,Prince Georges' County Public Schools,GWWO INC/ARCHITECTS,21211-2800,156077.45,,
2019,Prince Georges' County Public Schools,Gambrills Equipment Co. Inc,21144,92005.22,,
2019,Prince Georges' County Public Schools,Gipe Associates Inc,21601,822619.7,,
2019,Prince Georges' County Public Schools,"Girling Benefit Consulting, LLC",21048,117585,,
2019,Prince Georges' County Public Schools,Goode Trash Removal Inc,20770,28492.8,,
2019,Prince Georges' County Public Schools,H & S BAKERY INC.,19182-4621,1189829.62,,
2019,Prince Georges' County Public Schools,H M SWEENEY COMPANY,20785,1029946.94,,
2019,Prince Georges' County Public Schools,HALIFAX SECURITY INC DBA NORTH AMERICAN VIDEO,19176-6300,79542,,
2019,Prince Georges' County Public Schools,"HANOVER RESEARCH COUNCIL LLC, THE",22203,48500,,
2019,Prince Georges' County Public Schools,HARBOUR SCHOOL,21401,2957754.94,,
2019,Prince Georges' County Public Schools,HARTFORD LIFE & ACCIDENT INSURANCE CO,19178-3690,13360955.81,,
2019,Prince Georges' County Public Schools,HAVTECH PARTS DIVISION LLC,21297,101075.37,,
2019,Prince Georges' County Public Schools,HAYES SOFTWARE SYSTEMS,78759,129989,,
2019,Prince Georges' County Public Schools,HCGI HARTFORD INC DBA HCGI,19182-4607,1138549,,
2019,Prince Georges' County Public Schools,HEARTLAND PAYMENT SYSTEMS INC DBA HEARTLAND SCHOOL SOLUTIONS,47130,85224.38,,
2019,Prince Georges' County Public Schools,HEARTLINE FITNESS PRODUCTS INC T/A HEARTLINE FITNESS SYSTEMS,20855,99999.75,,
2019,Prince Georges' County Public Schools,HEINEMANN - A DIV OF GREENWOOD PUBLISHING,60693,136374.14,,
2019,Prince Georges' County Public Schools,HERFF JONES INC,60693-9292,42534.58,,
2019,Prince Georges' County Public Schools,HERMAN BORN & SONS INC,21224-2029,451900.04,,
2019,Prince Georges' County Public Schools,HESS CONSTRUCTION & ENGINEERING SERVICES INC,20878,590928.7,,
2019,Prince Georges' County Public Schools,HIGH LINER FOODS (USA) INCORPORATED,10087-2012,186306.39,,
2019,Prince Georges' County Public Schools,HIGH POINT HIGH SCHOOL,20705,44918.5,,
2019,Prince Georges' County Public Schools,HIGHLIGHTS FOR CHILDREN,43216,39778.02,,
2019,Prince Georges' County Public Schools,HILLSIDE WORK SCHOLARSHIP CONNECTION,14692,1237500,,
2019,Prince Georges' County Public Schools,HOME HEALTH CONNECTION INC,20824,82317.55,,
2019,Prince Georges' County Public Schools,HOT & COLD CORPORATION,20735,5131975.29,,
2019,Prince Georges' County Public Schools,HOUGHTON MIFFLIN HARCOURT PUBLISHING COMPANY,60693,4534922.07,,
2019,Prince Georges' County Public Schools,"HUELLE, BRENDA N.",20613,28000,,
2019,Prince Georges' County Public Schools,HUMAN KINETICS,60674,184919.52,,
2019,Prince Georges' County Public Schools,HURLEY CO.,20722,6288439.53,,
2019,Prince Georges' County Public Schools,"Hand2Mind, Inc",60678-1066,39412.91,,
2019,Prince Georges' County Public Schools,Henix C LLC dba Sterling Worldwide Entertainment,7020,209200,,
2019,Prince Georges' County Public Schools,"High Quality Care Nursing, Inc",20707,108730.84,,
2019,Prince Georges' County Public Schools,"Hillshire Brands Company, The",63044-0446,59384.78,,
2019,Prince Georges' County Public Schools,"Hotels at University Maryland College Park, LLC, The",20740,32544.34,,
2019,Prince Georges' County Public Schools,IAABO SOUTHERN MARYLAND BOARD #134 INC.,20775,199127,,
2019,Prince Georges' County Public Schools,"IMAGE FIRST OUTFITTERS LLC dba ""MARKED PROMOTIONS""",20720,63687.52,,
2019,Prince Georges' County Public Schools,IMAGINE ANDREWS PUBLIC CHARTER,20762,2769303.94,,
2019,Prince Georges' County Public Schools,IMAGINE FOUNDATIONS MORNINGSIDE,20746,1550150.39,,
2019,Prince Georges' County Public Schools,IMAGINE LEARNING INC,84604,295418.54,,
2019,Prince Georges' County Public Schools,IMAGINE LINCOLN PUBLIC CHARTER SCHOOL INC,20748,2353017.6,,
2019,Prince Georges' County Public Schools,IMAGINE PRINCE GEORGE'S COUNTY LLC,20774,2742158.27,,
2019,Prince Georges' County Public Schools,INDEPENDENT CONSULTANTS & ENGINEERS INC,20774,25814.8,,
2019,Prince Georges' County Public Schools,INDEPENDENT HARDWARE INCORPORATED,19106,91707.82,,
2019,Prince Georges' County Public Schools,INOVA EMPLOYEE ASSISTANCE,22030,223960.2,,
2019,Prince Georges' County Public Schools,INSTRUCTIONAL COACHING GROUP LLC,68859,31440,,
2019,Prince Georges' County Public Schools,INTAC INCORPORATED,20910-3499,185567.42,,
2019,Prince Georges' County Public Schools,INTERACT STORY THEATRE EDUCATION ASSOCIATION INC,20902,42889,,
2019,Prince Georges' County Public Schools,INTERLINE BRANDS INC DBA SUPPLYWORKS,30384-4290,25181.4,,
2019,Prince Georges' County Public Schools,INTERNAL REVENUE,45999-0005,299384924.05,,
2019,Prince Georges' County Public Schools,INTERNATIONAL BACCALAUREATE ORGANIZATION (IBO),10087-5950,256746.95,,
2019,Prince Georges' County Public Schools,INTERNATIONAL CENTER FOR LEADERSHIP IN EDUCATION,12148,29205,,
2019,Prince Georges' County Public Schools,IO EDUCATION LLC,30024,148320,,
2019,Prince Georges' County Public Schools,ISLAND CONTRACTING INC.,20705,30046.16,,
2019,Prince Georges' County Public Schools,ISTATION.COM,75206,26886,,
2019,Prince Georges' County Public Schools,ISTE,97403-1277,31144.33,,
2019,Prince Georges' County Public Schools,"IVYMOUNT SCHOOL, THE",20854,1690969.27,,
2019,Prince Georges' County Public Schools,IXL LEARNING INC,94404,95798,,
2019,Prince Georges' County Public Schools,Innive Inc,33755,85000,,
2019,Prince Georges' County Public Schools,"Internationals Network for Public Schools, Inc.",10004,286450,,
2019,Prince Georges' County Public Schools,Iorex USA LLC,20005,35075.68,,
2019,Prince Georges' County Public Schools,J G PARKS & SON INC,21638,150772.14,,
2019,Prince Georges' County Public Schools,J W DRAPERIES INC,34202,57093,,
2019,Prince Georges' County Public Schools,"JAMES A. PEARO, JR., ATTORNEY AT LAW",21037,37323.9,,
2019,Prince Georges' County Public Schools,JAMF SOFTWARE LLC,55401,116226.25,,
2019,Prince Georges' County Public Schools,JAMSAB REALTY CORP DBA CAPITAL ONE PUBLIC FUNDING LLC,11747,3720319.62,,
2019,Prince Georges' County Public Schools,"JAY BATTERDEN, LLC",20776,44668.65,,
2019,Prince Georges' County Public Schools,"JB Contracting, Inc.",20705,283500,,
2019,Prince Georges' County Public Schools,JEFFREY A KREW LLC,21042,136500.4,,
2019,Prince Georges' County Public Schools,JENNIE-O TURKEY STORE SALES LLC,60673-3447,525172.94,,
2019,Prince Georges' County Public Schools,JOHNSON REAL ESTATE LLC,21220,189941.27,,
2019,Prince Georges' County Public Schools,JOHNSON TRUCK CENTER LLC,21220,60555.59,,
2019,Prince Georges' County Public Schools,JONES SCHOOL SUPPLY CO. INC.,29202,111365.58,,
2019,Prince Georges' County Public Schools,JOURNEY ED.COM INC DBA ACADEMIC SUPERSTORE,75373-2357,27647.49,,
2019,Prince Georges' County Public Schools,JP MORGAN CHASE BANK NA/SUA PAYMENTS,43240,3757753.03,,
2019,Prince Georges' County Public Schools,"JPMorgan Chase Bank, N.A.",43240-2050,1561194.72,,
2019,Prince Georges' County Public Schools,JTM PROVISIONS CO INC,45271-1134,515208.02,,
2019,Prince Georges' County Public Schools,JUNIOR ACHIEVEMENT OF GREATER WASHINGTON,20036,242144,,
2019,Prince Georges' County Public Schools,"Johnson, Mirmiran & Thompson Inc.",21030,648083.85,,
2019,Prince Georges' County Public Schools,"Jones Lang LaSalle Americas, Inc.",20006,116173.95,,
2019,Prince Georges' County Public Schools,K NEAL INTERNATIONAL TRUCKS INC,20781,16111288.3,,
2019,Prince Georges' County Public Schools,KAISER PERMANENTE-KAISER FNDTN HLTH PLN-MIDATL ST,21264,7746241.57,,
2019,Prince Georges' County Public Schools,KAPLAN EARLY LEARNING COMPANY,28289,100626.43,,
2019,Prince Georges' County Public Schools,KAREN FOR KIDS INC,20706,317608.05,,
2019,Prince Georges' County Public Schools,KCI Technologies Inc,21152,487358.8,,
2019,Prince Georges' County Public Schools,"KELLOGG BROWN & ROOT, LLC",77061,536224.11,,
2019,Prince Georges' County Public Schools,KELVIN LP,11735,26945.32,,
2019,Prince Georges' County Public Schools,KENNEDY KRIEGER INSTITUTE,21213,13627133.2,,
2019,Prince Georges' County Public Schools,KFORCE INC,30349,71878.51,,
2019,Prince Georges' County Public Schools,KIDS FOR LESS,20718,30750,,
2019,Prince Georges' County Public Schools,KIMMAR NURSING SERVICES INC,21222,129662.06,,
2019,Prince Georges' County Public Schools,KINGMOR SUPPLY INCORPORATED,22801,111932.25,,
2019,Prince Georges' County Public Schools,KOHLER EQUIPMENT,20774,31257.16,,
2019,Prince Georges' County Public Schools,KORG USA dba SOUNDTREE,11747,46870.46,,
2019,Prince Georges' County Public Schools,KRANOS CORPORATION DBA SCHUTT RECONDITIONING,60675-1348,95406.5,,
2019,Prince Georges' County Public Schools,"Kapok Solutions, LLC",17268,36750,,
2019,Prince Georges' County Public Schools,"Keller Brothers, Inc.",21771,5204321.94,,
2019,Prince Georges' County Public Schools,"Kibart, Inc.",21204,326908.1,,
2019,Prince Georges' County Public Schools,LAB SCHOOL OF WASHINGTON,20007,602221.84,,
2019,Prince Georges' County Public Schools,LAKESHORE LEARNING MATERIALS,90895-1000,791952.1,,
2019,Prince Georges' County Public Schools,LANDCARE USA LLC,75267-7220,1673111.92,,
2019,Prince Georges' County Public Schools,LANDESIGN INC,20716,52912,,
2019,Prince Georges' County Public Schools,LANIER ELECTRONICS GROUP INC,20774,2285589.19,,
2019,Prince Georges' County Public Schools,LARGO HIGH SCHOOL,20774,30380.5,,
2019,Prince Georges' County Public Schools,LARGO HOTEL LLC DBA DOUBLETREE HOTEL LARGO,20776,32247.19,,
2019,Prince Georges' County Public Schools,LAUREL HIGH SCHOOL,20707,33275,,
2019,Prince Georges' County Public Schools,"LAW OFFICE OF ROGER C. THOMAS, LLC",20770,137295.85,,
2019,Prince Georges' County Public Schools,LAWSON PRODUCTS INC,60680-9401,52875.42,,
2019,Prince Georges' County Public Schools,LAWYERS EXTRAORDINAIRE LLC dba MASSEY LAW GROUP,20706,34100,,
2019,Prince Georges' County Public Schools,LAZEL INC,02284-4165,67626.66,,
2019,Prince Georges' County Public Schools,"LEARNING A-Z, LLC",02284-4165,174620.92,,
2019,Prince Georges' County Public Schools,"LEARNING TOGETHER CO INC, THE",27410,66867,,
2019,Prince Georges' County Public Schools,LECTURES DE FRANCE,29401,199585.35,,
2019,Prince Georges' County Public Schools,"LEYPOLDT, LINDA",21045,48400,,
2019,Prince Georges' County Public Schools,LIBRARY VIDEO COMPANY DBA SAFARI MONTAGE,19096-0580,345302,,
2019,Prince Georges' County Public Schools,LINDENMEYR MUNROE,02241-6977,294805.16,,
2019,Prince Georges' County Public Schools,LONG FENCE COMPANY INC,21113,54473.16,,
2019,Prince Georges' County Public Schools,"LOUIS J. GRASMICK LUMBER CO., INC.",21237,54512.64,,
2019,Prince Georges' County Public Schools,LRP PUBLICATIONS INC.,33416-4668,36356.9,,
2019,Prince Georges' County Public Schools,La Clinica del Pueblo Inc.,20009,128487.72,,
2019,Prince Georges' County Public Schools,Land O'Lakes Inc.,30384-9564,85654.8,,
2019,Prince Georges' County Public Schools,Latin American Youth Center,20009,681783.13,,
2019,Prince Georges' County Public Schools,"Leuterio Thomas, LLC",20745,72065,,
2019,Prince Georges' County Public Schools,"Lighthouse Center for Therapy & Play, LLC",21044,79550,,
2019,Prince Georges' County Public Schools,"Linwood Center, Inc.",21043,99399.45,,
2019,Prince Georges' County Public Schools,"Loving Guidance, Inc",32762,149235,,
2019,Prince Georges' County Public Schools,M & M CONTROLS,21093,39843.36,,
2019,Prince Georges' County Public Schools,MABE MD ASSOC OF BOARDS OF ED,21401,15062206,,
2019,Prince Georges' County Public Schools,MACKIN BOOK COMPANY DBA MACKIN EDUCATIONAL RESOURCES,55306,46586.56,,
2019,Prince Georges' County Public Schools,MAGA CREATIVE SERVICES LLC,21044-3835,253489.05,,
2019,Prince Georges' County Public Schools,MANSFIELD OIL COMPANY OF GAINESVILLE INC.,75373-3706,7924082.79,,
2019,Prince Georges' County Public Schools,MARRIOTT HOTEL,20783,58505.18,,
2019,Prince Georges' County Public Schools,MARRIOTT HOTEL SERVICES INC,20783,201381.63,,
2019,Prince Georges' County Public Schools,MARTINS INC,20774,137429.9,,
2019,Prince Georges' County Public Schools,MARYLAND DEPARTMENT OF HUMAN SERVICES,21201,108108.23,,
2019,Prince Georges' County Public Schools,MARYLAND DEPT OF JUVENILE SERVICES,21201,331560.06,,
2019,Prince Georges' County Public Schools,MARYLAND NATIONAL CAPITAL PARK & PLANNING COMM,20770,48924.68,,
2019,Prince Georges' County Public Schools,MARYLAND PARTNERSHIP FOR PREVENTION INC,21117,27900,,
2019,Prince Georges' County Public Schools,"MARYLAND SCHOOL FOR THE BLIND, THE",21236-4499,179695.2,,
2019,Prince Georges' County Public Schools,MARYLAND SCHOOL FOR THE DEAF,21705,39798,,
2019,Prince Georges' County Public Schools,MARYLAND STATE DEPARTMENT OF EDUCATION,21201,2272752.17,,
2019,Prince Georges' County Public Schools,MARYLAND STATE RETIREMENT AGENCY,21202,63766098.96,,
2019,Prince Georges' County Public Schools,MARYLAND UNEMPLOYMENT INSURANCE FUND,21203,873072.44,,
2019,Prince Georges' County Public Schools,"MATTHEWS GROUP, THE",20134-2099,2879536.23,,
2019,Prince Georges' County Public Schools,MCCARTHY TIRE SERVICES COMPANY,18703-1125,271868.95,,
2019,Prince Georges' County Public Schools,MCDANIEL COLLEGE INC,21157,64365,,
2019,Prince Georges' County Public Schools,MCDONALD & EUDY PRINTERS   TYP,20748,27704,,
2019,Prince Georges' County Public Schools,MCGRAW-HILL EDUCATION INC dba MCGRAW-HILL SCHOOL EDUCATION LLC,60694-1545,1097040.38,,
2019,Prince Georges' County Public Schools,MCKESSON MEDICAL-SURGICAL GOVERNMENT SOLUTIONS LLC (MMSGS),60696,75786.56,,
2019,Prince Georges' County Public Schools,METROPOLITAN AREA COMMUNICATION SERVICES,20012,541380,,
2019,Prince Georges' County Public Schools,MICHAEL J EIG AND ASSOCIATES PC,20815,66326.84,,
2019,Prince Georges' County Public Schools,MID ATLANTIC OFFICIALS,22031,115255,,
2019,Prince Georges' County Public Schools,MIDDLE COLLEGE HS NATIONAL CONSORTIUM,7821,33900,,
2019,Prince Georges' County Public Schools,MIDDLE STATES ASSOCIATION OF COLLEGES AND SCHOOLS INC.,19104,32594.5,,
2019,Prince Georges' County Public Schools,MIDDLETON & MEADS CO INC,21230,255832.98,,
2019,Prince Georges' County Public Schools,MIDWEST TECHNOLOGY PRODUCTS & SERVICES,51102,39111.17,,
2019,Prince Georges' County Public Schools,"MILLER, PATRICIA",21012,105240,,
2019,Prince Georges' County Public Schools,MONARCH TEACHING TECHNOLOGIES INC,44124,36720,,
2019,Prince Georges' County Public Schools,MONSTER TECHNOLOGY LLC,90045,29544.71,,
2019,Prince Georges' County Public Schools,MONTAGE INC,20010,1111838.92,,
2019,Prince Georges' County Public Schools,MONTGOMERY COLLEGE,20850,26610,,
2019,Prince Georges' County Public Schools,MONTGOMERY COUNTY PUBLIC SCHOOLS,20850,144948.58,,
2019,Prince Georges' County Public Schools,MOUNTAIN MANOR TREATMENT CENTER INCORPORATED,21229,186806.4,,
2019,Prince Georges' County Public Schools,MSTA FUND FOR CHILDR AND PUBLIC EDU CORP CKING,21401,1156726.44,,
2019,Prince Georges' County Public Schools,MULTICORP INC,21046,25718.05,,
2019,Prince Georges' County Public Schools,MUSIC & ARTS CENTERS INC,21703,69179.42,,
2019,Prince Georges' County Public Schools,MWSRA,20906,77025,,
2019,Prince Georges' County Public Schools,MYTHICS INCORPORATED,23562,159779.92,,
2019,Prince Georges' County Public Schools,Math Enrichment Tutor Center,20715,112321.63,,
2019,Prince Georges' County Public Schools,Matrice Consulting LLC,19711,70315,,
2019,Prince Georges' County Public Schools,McCollum & Associates LLC,20740,110379.26,,
2019,Prince Georges' County Public Schools,Meredith Digital Inc.,92735,118692.17,,
2019,Prince Georges' County Public Schools,"Micon Constructions, Inc",20017,97455,,
2019,Prince Georges' County Public Schools,"Microbac Laboratories, Inc.",15264-4733,31970,,
2019,Prince Georges' County Public Schools,"MiraVia, LLC",2474,36798.75,,
2019,Prince Georges' County Public Schools,"Modular Genius, Inc.",21085,2774230.7,,
2019,Prince Georges' County Public Schools,"Morton Salt, Inc.",60673,25103.06,,
2019,Prince Georges' County Public Schools,"Musco Sports Lighting, LLC",52577,342171.95,,
2019,Prince Georges' County Public Schools,N HARRIS COMPUTER CORP DBA HARRIS SCHOOL SOLUTIONS,60693-0621,553984.69,,
2019,Prince Georges' County Public Schools,NASTOS CONSTRUCTION INC,20019,5436597.18,,
2019,Prince Georges' County Public Schools,NATIONAL ASSOCIATION FOR EDUCATION OF YOUNG CHILDREN,20005,28722.6,,
2019,Prince Georges' County Public Schools,NATIONAL ASSOCIATION OF SECONDARY SCHOOL PRINCIPALS - NASSP - NHS:NJHS - NASC - NEHS,02241-7939,57397.08,,
2019,Prince Georges' County Public Schools,NATIONAL CENTER ON INSTITUTIONS & ALTERNATIVES,21244,1322527.19,,
2019,Prince Georges' County Public Schools,NATIONAL SAM INNOVATION PROJECT (NSIP),40222,76640,,
2019,Prince Georges' County Public Schools,NATIONAL SUPPLY COMPANY,20705-1412,223652.5,,
2019,Prince Georges' County Public Schools,NATIONAL TRAINING NETWORK INC,27358-0036,693065.1,,
2019,Prince Georges' County Public Schools,NAVIANCE INCORPORATED,63150,684106.91,,
2019,Prince Georges' County Public Schools,"NBCUniversal, LLC dba NBC Learn",10112,60000,,
2019,Prince Georges' County Public Schools,NCS PEARSON INCORPORATED,60693,31918,,
2019,Prince Georges' County Public Schools,NEOPOST USA INC,60673-1258,114816.98,,
2019,Prince Georges' County Public Schools,NESTLE WATERS NORTH AMERICA DBA READYREFRESH,40285-6192,225731.76,,
2019,Prince Georges' County Public Schools,NOLAND COMPANY,20109,855833.16,,
2019,Prince Georges' County Public Schools,NORTHBAY EDUCATION INC,21901,834048,,
2019,Prince Georges' County Public Schools,NORTHWESTERN HIGH SCHOOL,20782,39370.78,,
2019,Prince Georges' County Public Schools,NOTRE DAME OF MARYLAND UNIVERSITY INC,21210,300282,,
2019,Prince Georges' County Public Schools,NSBA,22314,33480,,
2019,Prince Georges' County Public Schools,NY2 (NEWS 2 YOU),44839,108271.27,,
2019,Prince Georges' County Public Schools,"Nardone Brothers Baking Company, Inc.",18709,57582.8,,
2019,Prince Georges' County Public Schools,Nichols Contracting Inc,20860,971856.01,,
2019,Prince Georges' County Public Schools,Northwest Evaluation Association (NWEA),97211,572800,,
2019,Prince Georges' County Public Schools,Nova Electrical Contractors,20716,101233.34,,
2019,Prince Georges' County Public Schools,Nymbus Corporation,19178-1580,42553.05,,
2019,Prince Georges' County Public Schools,"O'MALLEY, MILES, NYLEN & GILMORE, P.A.",20770,300014.98,,
2019,Prince Georges' County Public Schools,OCEAN AIR HEATING & COOLING LLC,21666,56669.7,,
2019,Prince Georges' County Public Schools,OFFICE CATERING LLC,20743-6719,128975.17,,
2019,Prince Georges' County Public Schools,OFFICE DEPOT,28201,979134.81,,
2019,Prince Georges' County Public Schools,OLD DOMINION BRUSH COMPANY,30384-7213,122059.2,,
2019,Prince Georges' County Public Schools,"OMELETTE CHEFS INC, THE",20715,46764.96,,
2019,Prince Georges' County Public Schools,"OMNI Financial Group, Inc.",14611,18331496.2,,
2019,Prince Georges' County Public Schools,"ONE WORLD CENTER FOR AUTISM INC, THE",20706,182900,,
2019,Prince Georges' County Public Schools,OPEN TEXT INC,60673,44716.72,,
2019,Prince Georges' County Public Schools,ORACLE AMERICA INC,75320-3448,1740119.36,,
2019,Prince Georges' County Public Schools,"OTC BRANDS INC., dba ORIENTAL TRADING AND MINDWARE",50306-3502,62394.54,,
2019,Prince Georges' County Public Schools,OTIS ELEVATOR COMPANY,07188-0716,93025.19,,
2019,Prince Georges' County Public Schools,OUT OF THE SHELL LLC DBA YANGS 5TH TASTE,91733,459538.45,,
2019,Prince Georges' County Public Schools,OVERHEAD DOOR CO OF WASHINGTON DC,20705,223057.58,,
2019,Prince Georges' County Public Schools,OXFORD UNIVERSITY PRESS INC.,27513,45784.17,,
2019,Prince Georges' County Public Schools,OXON HILL HIGH SCHOOL,20745,42622.5,,
2019,Prince Georges' County Public Schools,P.E.O.P.L.E.,20036,47370.28,,
2019,Prince Georges' County Public Schools,PA SOUTHERN LLC,30374-4895,181158.61,,
2019,Prince Georges' County Public Schools,PAIGE INDUSTRIAL SERVICES INC,20785,4184366.63,,
2019,Prince Georges' County Public Schools,"PAPCO, Inc",28260-0507,2786722.11,,
2019,Prince Georges' County Public Schools,PARKDALE HIGH SCHOOL,20737,36150,,
2019,Prince Georges' County Public Schools,PARTITION PLUS INC,21047,28663,,
2019,Prince Georges' County Public Schools,"PATHWAYS SCHOOLS, THE",20902,1998558,,
2019,Prince Georges' County Public Schools,PATUXENT MATERIALS INC.,21114,34759.94,,
2019,Prince Georges' County Public Schools,PEARSON ASSESSMENTS,60693,376880.47,,
2019,Prince Georges' County Public Schools,PEARSON EDUCATION,30384,4817402.01,,
2019,Prince Georges' County Public Schools,PERFECTION LEARNING CORPORATION,51546,769531.57,,
2019,Prince Georges' County Public Schools,PERFORMANCE MATTERS LLC,75320-5848,600331.55,,
2019,Prince Georges' County Public Schools,PERMA BOUND INC.,62650,30363.14,,
2019,Prince Georges' County Public Schools,"PESSIN KATZ LAW, P.A.",21204,163754.17,,
2019,Prince Georges' County Public Schools,PGC EDUCATORS ASSOCIATION,20747,6726632.12,,
2019,Prince Georges' County Public Schools,PHILLIPS PROGRAMS,22003,4707733.05,,
2019,Prince Georges' County Public Schools,PILGRIM'S PRIDE CORPORATION,60680-9225,1641729.96,,
2019,Prince Georges' County Public Schools,PIONEER VALLEY EDUCATIONAL PRESS INCORPORATED,1060,52730.76,,
2019,Prince Georges' County Public Schools,PITSCO INC,64180-4908,49933.21,,
2019,Prince Georges' County Public Schools,PLAYCORE WISCONSIN INC DBA GAMETIME,35968,476856.39,,
2019,Prince Georges' County Public Schools,PORTERS SUPPLY CO. INC.,21223,219450,,
2019,Prince Georges' County Public Schools,POSITIVE PROMOTIONS INC.,07101-4537,167617.83,,
2019,Prince Georges' County Public Schools,POSNER INDUSTRIES,20791,86419.03,,
2019,Prince Georges' County Public Schools,POTOMAC ELECTRIC  POWER - PEPCO,20068,16260228.23,,
2019,Prince Georges' County Public Schools,POTOMAC GENERATOR SERVICE & REPAIR INC,20705,58716.03,,
2019,Prince Georges' County Public Schools,POTOMAC RIDGE BEHAVIORAL HEALTH,20850,698547.79,,
2019,Prince Georges' County Public Schools,POTOMAC TRUCK CENTER INC,20710,54239.49,,
2019,Prince Georges' County Public Schools,POWERSCHOOL GROUP LLC,94139-8408,559723.67,,
2019,Prince Georges' County Public Schools,PPG INDUSTRIES INC,30353-6864,58001.28,,
2019,Prince Georges' County Public Schools,PREMIER AGENDAS INC.,60695-3106,92028.26,,
2019,Prince Georges' County Public Schools,PRIAM INCORPORATED,33647,245500,,
2019,Prince Georges' County Public Schools,PRIME AE GROUP INC,43240,437883.4,,
2019,Prince Georges' County Public Schools,PRINCE GEORGE'S COUNTY MD,20772,384509,,
2019,Prince Georges' County Public Schools,PRINCE GEORGE'S COUNTY POLICE DEPARTMENT,20785,49151.36,,
2019,Prince Georges' County Public Schools,PRINCE GEORGES AFRICAN AMERICAN MUSEUM & CULTURAL CENTER AT N BRENTWOOD,20722,70030,,
2019,Prince Georges' County Public Schools,PRINCE GEORGES CHILD RESOURCE CENTER INC.,20774-5357,147039.7,,
2019,Prince Georges' County Public Schools,PRINCE GEORGES COMMUNITY COLLEGE,20774-2199,968102.9,,
2019,Prince Georges' County Public Schools,PRINCE GEORGES COUNTY GOVERNMENT,20772,20028228.58,,
2019,Prince Georges' County Public Schools,PRINCE GEORGES COUNTY HEALTH DEPT,20774,443517.15,,
2019,Prince Georges' County Public Schools,PRINCE GEORGES EQUESTRIAN CENTER (MNCPPC),20772,32428,,
2019,Prince Georges' County Public Schools,PRINCE GEORGES EQUESTRIAN SHOW PLACE ARENA CENTER,20772,64852,,
2019,Prince Georges' County Public Schools,PRITCHETT CONTROLS INC,20705,95961.58,,
2019,Prince Georges' County Public Schools,PRO-ED INC,75267-9029,102639.2,,
2019,Prince Georges' County Public Schools,PROFESSIONAL INTERPRETER EXCHANGE,20708,153093.88,,
2019,Prince Georges' County Public Schools,PROGRESSUS THERAPY LLC,18929,1960162.25,,
2019,Prince Georges' County Public Schools,PROJECT LEAD THE WAY INC,46240-3821,135608.2,,
2019,Prince Georges' County Public Schools,"PROPHET CORP dba Gopher Sport/Perfor.,Play with a Purpose,STEM Supplies,Moving Minds",55485,62829.22,,
2019,Prince Georges' County Public Schools,PROQUEST INFORMATION & LEARNING CO,60674,92257.77,,
2019,Prince Georges' County Public Schools,PS DATA SUPPLY INC.,20850,66109.5,,
2019,Prince Georges' County Public Schools,Paint My Thoughts LLC dba Millenium Technology Support & Training,77449,256663,,
2019,Prince Georges' County Public Schools,Panorama Education Inc,2111,169000,,
2019,Prince Georges' County Public Schools,Pennhurst Group LLC dba Epic Developmental Services,21286,61503,,
2019,Prince Georges' County Public Schools,"Pivot Athletic Training, LLC",21286,182550.73,,
2019,Prince Georges' County Public Schools,ProFlex Physical Therapy of Maryland LLC,20601,82368.76,,
2019,Prince Georges' County Public Schools,Protec Construction Inc.,20001,1871108.47,,
2019,Prince Georges' County Public Schools,"Public Consulting Group, Inc.",02284-5308,62683.5,,
2019,Prince Georges' County Public Schools,"Public Pathways, Inc.",55403-1947,81640,,
2019,Prince Georges' County Public Schools,QUAVERMUSIC.COM LLC,37212,122205,,
2019,Prince Georges' County Public Schools,QUIANA TOURS INC.,20774-2416,36235.75,,
2019,Prince Georges' County Public Schools,"RAPP CONTRACTING, INC",20705,114206,,
2019,Prince Georges' County Public Schools,READY AT FIVE PARTNERSHIP,21228,55252.44,,
2019,Prince Georges' County Public Schools,REALLY GOOD STUFF LLC,60673-4329,126709.48,,
2019,Prince Georges' County Public Schools,REDHAWK FIRE & SECURITY LLC,20705,80766.07,,
2019,Prince Georges' County Public Schools,REGINALD S LOURIE CENTER,20850,639259.49,,
