fiscal_year,agency_name,payee_name,payee_name_clean,payee_zip,amount,purpose_of_payment_baltimore_county_only,mbe,agency_name_clean
2019,Kent County Public Schools,CLOVERLAND FARMS DAIRY Total,CLOVERLAND FARMS DAIRY,02241,58536.65,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,DE NICHOLSON PLUMBING Total,DE NICHOLSON PLUMBING,21678,33787.36,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,DELMARVA POWER Total,DELMARVA POWER Total,19101,89837.49,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,DISCOVERY EDUCATION Total,DISCOVERY EDUCATION,30374,30298.4,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,EDUCATIONAL FACILITIES PLANNING LLC Total,EDUCATIONAL FACILITIES PLANNING LLC,21409,35272.95,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,FPC DISTRIBUTION Total,FPC DISTRIBUTION,21075,71818.89,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,"KENT CO COMMISSIONERS, SOLAR Total",KENT COUNTY COMMISSIONERS,21620,78116.57,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,KENT COUNTY COMMISSIONERS,KENT COUNTY COMMISSIONERS,21620,196380.39,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,KENT COUNTY HEALTH DEPT Total,KENT COUNTY HEALTH DEPARTMENT,21620,334447.44,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,"LABOR FIRST, LLC Total",LABOR FIRST LLC,08054,365739.17,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,MABE CLAIMS UNIT Total,MABE CLAIMS UNIT Total,21401,31500.98,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,MABE GROUP INSURANCE POOL,MABE GROUP INSURANCE POOL,21401,52961,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,MABE-WORKERS' COMP SELF-INSURANCE Total,MABE WORKERS COMP SELF INSURANCE,21401,162704,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,MARYLAND UNEMPLOYMENT INSURANCE Total,MARYLAND UNEMPLOYMENT INSURANCE,21297,30505.1,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,MCGRAW-HILL COMPANIES Total,MCGRAW-HILL,60694,41421.26,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,"NOELKER & HULL ASSOC., INC Total",NOELKER & HULL ASSOCIATION INC,17201,75377.11,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,NORTHWEST EDUCATION ASSOCIATION Total,NORTHWEST EDUCATION ASSOCIATION Total,97209,35925,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,OFFICE DEPOT Total,OFFICE DEPOT,45263,42858.36,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,P K LAW Total,P K LAW Total,21204,85420.13,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,PAMELA J AYRES Total,PAMELA J AYRES Total,21921,26200,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,PARADEE GAS CO Total,PARADEE GAS CO Total,19901,32458.87,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,POWER SCHOOL GROUP LLC Total,POWERSCHOOL GROUP LLC,94139,82645.41,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,QUEEN ANNE'S CO PUBLIC SCHOOLS Total,QUEEN ANNE'S COUNTY PUBLIC SCHOOLS,21617,80494,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,SECURITY BENEFITS GROUP Total,SECURITY BENEFITS GROUP,66675,120733.8,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,SHOREHAVEN INC Total,SHOREHAVEN INC,21921,198679.31,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,SOLIANT HEALTH Total,SOLIANT HEALTH,60055,37636.75,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,"SPECIALIZED EDUCATION OF DE, INC Total","SPECIALIZED EDUCATION OF DE, INC Total",08103,65653.05,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,"SPECIALIZED EDUCATION OF MD, INC Total",SPECIALIZED EDUCATION OF MD INC,08103,363955,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,STANDARD INSURANCE CO. Total,STANDARD INSURANCE CO,97228,61407.97,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,SYSCO EASTERN MD Total,SYSCO EASTERN MD,21851,376923.09,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,TOP NOTCH LAWN CARE Total,TOP NOTCH LAWN CARE,21640,46925,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,VARIABLE ANNUITY LIFE INS CO Total,VARIABLE ANNUITY LIFE INSURANCE,75303,193436,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,VERIZON (LL) Total,VERIZON (LL) Total,8650,34116.13,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,VERIZON WIRELESS Total,VERIZON WIRELESS Total,18002,142308.36,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,VOYA INSTITUTIONAL TRUST CO Total,VOYA INSTITUTIONAL TRUST CO,10116,26280,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,"WASTE MANAGEMENT OF DELAWARE, INC Total",WASTE MANAGEMENT OF DELAWARE INC,19101-,48798.31,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,WELLS FARGO VENDOR FINANCE Total,WELLS FARGO VENDOR FINANCE,19176,102544,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,WEX BANK Total,WEX BANK,60197,25642.76,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,"WGL ENERGY SERVICES, INC Total",WGL ENERGY SERVICES INC,22102,112984.48,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,"WGL ENERGY SYSTEMS, INC Total",WGL ENERGY SERVICES INC,22182,49801.13,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,XEROX CORPORATION Total,XEROX CORPORATION,19182,97434.33,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,"PT NETWORK, LLC","PT NETWORK, LLC",21286,25000,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,"LEARNING TOGETHER, LLC","LEARNING TOGETHER, LLC",21601,25185.55,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,MABE,MABE,21401-1112,25379,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,SOLIANT HEALTH,SOLIANT HEALTH,60055-4430,25622.63,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,TALBOT COUNTY HEALTH DEPARTMENT,TALBOT COUNTY HEALTH DEPARTMENT,21601,25900.46,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,SIGNATURE PUBLIC FUNDING CORP.,SIGNATURE PUBLIC FUNDING CORP.,07101-4549,26483.16,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,"SCOFIELD MASONE MANAGEMENT, LLC","SCOFIELD MASONE MANAGEMENT, LLC",21663,27092.11,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,HILARY SPENCE,HILARY SPENCE,21601,27871.24,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,ARROW CHILD & FAMILY MINISTRIES,ARROW CHILD & FAMILY MINISTRIES,21234,28152.8,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,SPURRY'S TIRE SERVICE INC,SPURRY'S TIRE SERVICE INC,21601,28168.57,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,BLAIR E MARTH,BLAIR E MARTH,21647,28615,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,"KENT ISLAND FLOOR COVERING, INC","KENT ISLAND FLOOR COVERING, INC",21666,29082,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,MOHAWK RESOURCES LTD,MOHAWK RESOURCES LTD,12010,30203.4,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,MR. ROOTER,MR. ROOTER,21625,31067.5,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,"PACIFIC EDUCATIONAL GROUP, INC.","PACIFIC EDUCATIONAL GROUP, INC.",94114,31565,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,BELL TECHLOGIX INC,BELL TECHLOGIX INC,19182-3342,31611.92,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,UNUM INSURANCE COMPANY,UNUM INSURANCE COMPANY,30384-3748,31954.21,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,"VITECH CONSULTING SERVICES, INC",VITECH CONSULTING LLC,21629,35328.61,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,"FILEWAVE (USA), INC.","FILEWAVE (USA), INC.",46207,36426,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,COLLEGE BOARD - AP EXAMS,COLLEGE BOARD,10087-1535,40497,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,MCGRAW-HILL LEARNING MATERIALS,MCGRAW-HILL,19170-7020,40968.12,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,DELMARVA POWER,DELMARVA POWER,19101,42710.81,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,"JOHNSON CONTROLS, INC.",JOHNSON CONTROLS INC,75373,43715.09,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,"PROJECT LEAD THE WAY, INC",PROJECT LEAD THE WAY INC,46240,44141.2,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,JEANINE K BRIZENDINE,JEANINE K BRIZENDINE,21012,44757.88,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,CRISWELL PERFORMANCE CARS INC,CRISWELL PERFORMANCE CARS INC,20878,44972,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,"LAW OFFICES OF MARK B. MARTIN, P.A.","LAW OFFICES OF MARK B. MARTIN, P.A.",21201,45000,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,EDOCTRINA CORPORATION,EDOCTRINA CORPORATION,14221,45125,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,"KURTZ BROS., INC.","KURTZ BROS., INC.",16830-0392,45419.86,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,"WASTE MANAGEMENT OF DELAWARE, INC.",WASTE MANAGEMENT OF DELAWARE INC,19101-3648,45827.97,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,FOLLETT SCHOOL SOLUTIONS INC.,FOLLETT SCHOOL SOLUTIONS,60693-0918,48254.46,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,CENTER FOR LIFELONG LEARNING,CENTER FOR LIFELONG LEARNING,07869,49419,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,JANE M. WALLENHORST,JANE M. WALLENHORST,21673,50175,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,"WGL ENERGY SERVICES, INC.",WGL ENERGY SERVICES INC,22102,51157.87,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,U.S. BANCORP GOVERNMENT LEASING AND,U.S. BANCORP GOVERNMENT LEASING AND,63195-9067,51593.77,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,SALISBURY UNIVERSITY,SALISBURY UNIVERSITY,21802,54802.99,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,VERIZON WIRELESS,VERIZON,18002-5505,55867.39,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,"CBIZ MHM, LLC","CBIZ MHM, LLC",30384-4489,57148,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,ECHO HILL OUTDOOR SCHOOL,ECHO HILL OUTDOOR SCHOOL,21678,61370,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,CDW GOVERNMENT,CDW GOVERNMENT,60675-1515,62786.23,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,"POWERSCHOOL GROUP, LLC",POWERSCHOOL GROUP LLC,94139-8408,63390.65,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,"PESSIN KATZ LAW, P.A.","PESSIN KATZ LAW, P.A.",21204,64872.57,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,"TALBOT COUNTY, MARYLAND","TALBOT COUNTY, MARYLAND",21601,65752,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,CHESAPEAKE FOOD SERVICE CO. INC,CHESAPEAKE FOOD SERVICE CO. INC,21613,69765,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,"SEVERIN INTERMEDIATE HOLDINGS, LLC","SEVERIN INTERMEDIATE HOLDINGS, LLC",94139-8408,70119.98,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,APPLE COMPUTER,APPLE INC,30384-1877,73030.15,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,MCGRAW-HILL GLOBAL EDUCATION LLC,MCGRAW-HILL,19178-6167,75419.16,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,SOLUTIONS GRANTED,SOLUTIONS GRANTED,22192,82964.09,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,NEW DIRECTION SOLUTIONS LLC,NEW DIRECTION SOLUTIONS LLC,60055-4430,84424.5,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,ENOME INC,ENOME INC,94401,85472,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,VERIZON,VERIZON,08650-4830,86380.14,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,"MICROREPLAY, INC","MICROREPLAY, INC",01821,88165,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,TRANSAMERICA LIFE INSURANCE COMPANY,TRANSAMERICA LIFE INSURANCE COMPANY,52499-0001,89384.7,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,ARK SYSTEMS INC.,ARK SYSTEMS INC,21045,91895.99,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,"YMCA OF TALBOT COUNTY, INC.","YMCA OF TALBOT COUNTY, INC.",21601,92041.29,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,VISA,VISA,60197-6818,95308.7,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,MARYLAND STATE RETIREMENT,MARYLAND STATE RETIREMENT,21202,100175.96,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,OFFICE DEPOT,OFFICE DEPOT,45263-3301,103464.49,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,"MOTOROLA SOLUTIONS, INC","MOTOROLA SOLUTIONS, INC",60693,103686.32,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,"SUNBELT STAFFING, LLC","SUNBELT STAFFING, LLC",60055-4430,105616.25,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,COMPHEALTH MEDICAL STAFFING,COMPHEALTH MEDICAL STAFFING,75397-2670,106128.93,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,STANDARD INSURANCE COMPANY,STANDARD INSURANCE CO,45264-5311,122669.6,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,A. E. MOORE JANITORIAL INC.,A. E. MOORE JANITORIAL INC,19966,124602.06,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,M. KATHRYN SEIFERT,M. KATHRYN SEIFERT,21804,126500.01,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,ANGEL MANAGEMENT INC,ANGEL MANAGEMENT INC,21114,128443.54,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,AMAZON,AMAZON,30353-0958,128780.6,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,XEROX CORPORATION,XEROX CORPORATION,19182-7598,129287.9,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,"AMERICAN TRUCK & BUS, INC.",AMERICAN TRUCK & BUS INC,21401,129415.98,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,"L & S BUS SERVICE, INC.","L & S BUS SERVICE, INC.",21617,132331.26,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,TALBOT COUNTY EDUCATION ASSOCI,TALBOT COUNTY EDUCATION ASSOCI,NA,180232.8,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,MABE-GROUP INSURANCE POOL,MABE GROUP INSURANCE POOL,21401,180483,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,TOWN OF EASTON,TOWN OF EASTON,21601,197577.14,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,CHOPTANK ELECTRIC COOPERATIVE,CHOPTANK ELECTRIC COOPERATIVE INC,21629,241697.92,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,"SPECIALIZED EDUCATION OF MD, INC.",SPECIALIZED EDUCATION OF MD INC,08103-1085,257057.63,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,MABE-WORKERS COMP SELF-INS,MABE WORKERS COMP SELF INSURANCE,21401,290958,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,AMN HEALTHCARE,AMN HEALTHCARE,30384-1939,307251.03,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,THE BENEDICTINE SCHOOL FOR,THE BENEDICTINE SCHOOL FOR,21660,358092.45,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,"BCICAPITAL, INC.","BCICAPITAL, INC.",32801,360348.16,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,MANSFIELD OIL COMPANY,MANSFIELD OIL COMPANY,75373-3706,404094.7,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,MID SHORE SPECIAL ED CONSORTIUM,MID SHORE SPECIAL ED CONSORTIUM,21601,429632.48,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,"APPLE COMPUTER, INC.",APPLE INC,30384-1877,637497.69,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,EASTON UTILITIES COMMISSION,EASTON UTILITIES COMMISSION,21601,798954.53,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,LABOR FIRST LLC,LABOR FIRST LLC,08054,835057.6,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,MARYLAND STATE RETIREMENT,MARYLAND STATE RETIREMENT,21202,1290460,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,"SODEXO, INC & AFFILIATES","SODEXO, INC & AFFILIATES",21601,2209531.27,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,MARYLAND STATE RETIREMENT SYST,MARYLAND STATE RETIREMENT,21202-1600,2449674.25,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,E. SHORE EDUC. CONSORT.,E. SHORE EDUC. CONSORT.,21202,4002643,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,"CAREFIRST OF MARYLAND, INC.","CAREFIRST OF MARYLAND, INC.",19178-9616,7184602.88,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2019,Talbot County Public Schools,THE WHITING-TURNER CONTRACTING CO,THE WHITING-TURNER CONTRACTING CO,21297,11421255.51,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,"CDW-G GOVERNMENT,INC",CDW GOVERNMENT,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,AERO ENERGY -(WISE OIL,AERO ENERGY - WISE OIL & FUEL,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,ALLIANCE TECHNOLOGY GR,ALLIANCE TECHNOLOGY GR,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,"ALTO-HARTLEY, INC.","ALTO-HARTLEY, INC.",NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,AMERICAN FIDELITY ASSU,AMERICAN FIDELITY ASSURANCE,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,AMERICAN READING COMPA,AMERICAN READING COMPANY,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,"APPLE, INC.",APPLE INC,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,ARK SYSTEMS,ARK SYSTEMS INC,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,ARROW CENTER FOR EDUCA,ARROW CENTER FOR EDUCA,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,"AZ TRANSPORT,INC- BUS","AZ TRANSPORT,INC- BUS",NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,BANC OF AMERICA LEASIN,BANK OF AMERICA,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,BAY COUNTRY COMMUNICAT,BAY COUNTRY COMMUNICATIONS INC,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,BELL TECH LOGIX,BELL TECHLOGIX INC,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,BENEDICTINE SCHOOL,BENEDICTINE SCHOOL,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,BOB BREEDING GENERAL C,BOB BREEDING GENERAL C,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,CAMBRIDGE-SOUTH DORCHE,CAMBRIDGE-SOUTH DORCHESTER HIGH SCHOOL,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,CAREFIRST BLUE CROSS B,CAREFIRST BLUE CROSS BLUE SHIELD,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,CARROLL COUNTY FOODS,CARROLL COUNTY FOODS,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,CHARLES BROWN GLASS CO,CHARLES BROWN GLASS CO,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,CHESAPEAKE UTILITIES,CHESAPEAKE UTILITIES,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,CHOPTANK ELECTRIC COOP,CHOPTANK ELECTRIC COOPERATIVE INC,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,"CIT BANK, N.A.","CIT BANK, N.A.",NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,COKESBURY TRANSPORTATI,COKESBURY TRANSPORTATION LLC,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,COUNTY ENVIRONMENTAL I,COUNTY ENVIRONMENTAL I,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,CROPPER AND SON TRANSP,CROPPER AND SON TRANSPORT,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,CUNNINGHAM RECREATION,CUNNINGHAM RECREATION,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,"DATA MANAGEMENT, INC.","DATA MANAGEMENT, INC.",NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,DATA NETWORKS INC.,DATA NETWORKS INC.,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
